,index,n_trial,rt,stim_selected,correct_stim,correct,feedback,feedback_congruent,correct_count,trial_till_correct,reversal,block_no,participant_no,timed_out,block_type,time_taken,criteria
46,0,47.0,584.0,0,0,True,correct,True,2.0,25.0,3.0,2.0,1.0,0,Disgust,7.49205,0
47,0,48.0,650.0,0,0,True,correct,True,3.0,26.0,3.0,2.0,1.0,0,Disgust,7.49205,0
48,0,49.0,608.0,0,0,True,correct,True,4.0,27.0,3.0,2.0,1.0,0,Disgust,7.49205,0
49,0,50.0,728.0,0,0,True,correct,True,5.0,28.0,3.0,2.0,1.0,0,Disgust,7.49205,0
50,0,51.0,721.0,0,1,False,incorrect,True,0.0,1.0,4.0,2.0,1.0,0,Disgust,7.49205,0
51,0,52.0,948.0,1,1,True,correct,True,1.0,2.0,4.0,2.0,1.0,0,Disgust,7.49205,0
52,0,53.0,701.0,1,1,True,correct,True,2.0,3.0,4.0,2.0,1.0,0,Disgust,7.49205,0
53,0,54.0,674.0,1,1,True,correct,True,3.0,4.0,4.0,2.0,1.0,0,Disgust,7.49205,0
54,0,55.0,3533.0,0,1,False,incorrect,True,0.0,5.0,4.0,2.0,1.0,0,Disgust,7.49205,0
55,0,56.0,670.0,1,1,True,correct,True,1.0,6.0,4.0,2.0,1.0,0,Disgust,7.49205,0
56,0,57.0,682.0,1,1,True,incorrect,False,2.0,7.0,4.0,2.0,1.0,0,Disgust,7.49205,0
57,0,58.0,702.0,0,1,False,incorrect,True,0.0,8.0,4.0,2.0,1.0,0,Disgust,7.49205,0
58,0,59.0,709.0,1,1,True,incorrect,False,1.0,9.0,4.0,2.0,1.0,0,Disgust,7.49205,0
59,0,60.0,555.0,1,1,True,correct,True,2.0,10.0,4.0,2.0,1.0,0,Disgust,7.49205,0
60,0,61.0,638.0,1,1,True,correct,True,3.0,11.0,4.0,2.0,1.0,0,Disgust,7.49205,0
61,0,62.0,756.0,1,1,True,correct,True,4.0,12.0,4.0,2.0,1.0,0,Disgust,7.49205,0
62,0,63.0,615.0,1,1,True,correct,True,5.0,13.0,4.0,2.0,1.0,0,Disgust,7.49205,0
63,0,64.0,2459.0,1,0,False,correct,False,0.0,1.0,5.0,2.0,1.0,0,Disgust,7.49205,0
64,0,65.0,825.0,1,0,False,incorrect,True,0.0,2.0,5.0,2.0,1.0,0,Disgust,7.49205,0
65,0,66.0,720.0,1,0,False,incorrect,True,0.0,3.0,5.0,2.0,1.0,0,Disgust,7.49205,0
66,0,67.0,883.0,1,0,False,incorrect,True,0.0,4.0,5.0,2.0,1.0,0,Disgust,7.49205,0
67,0,68.0,717.0,1,0,False,incorrect,True,0.0,5.0,5.0,2.0,1.0,0,Disgust,7.49205,0
68,0,69.0,582.0,0,0,True,incorrect,False,1.0,6.0,5.0,2.0,1.0,0,Disgust,7.49205,0
69,0,70.0,633.0,0,0,True,correct,True,2.0,7.0,5.0,2.0,1.0,0,Disgust,7.49205,0
70,0,71.0,668.0,0,0,True,correct,True,3.0,8.0,5.0,2.0,1.0,0,Disgust,7.49205,0
71,0,72.0,1279.0,0,0,True,incorrect,False,4.0,9.0,5.0,2.0,1.0,0,Disgust,7.49205,0
72,0,73.0,632.0,1,0,False,incorrect,True,0.0,10.0,5.0,2.0,1.0,0,Disgust,7.49205,0
73,0,74.0,500.0,1,0,False,incorrect,True,0.0,11.0,5.0,2.0,1.0,0,Disgust,7.49205,0
74,0,75.0,492.0,0,0,True,correct,True,1.0,12.0,5.0,2.0,1.0,0,Disgust,7.49205,0
75,0,76.0,598.0,0,0,True,correct,True,2.0,13.0,5.0,2.0,1.0,0,Disgust,7.49205,0
76,0,77.0,762.0,0,0,True,correct,True,3.0,14.0,5.0,2.0,1.0,0,Disgust,7.49205,0
77,0,78.0,759.0,0,0,True,correct,True,4.0,15.0,5.0,2.0,1.0,0,Disgust,7.49205,0
78,0,79.0,608.0,0,0,True,correct,True,5.0,16.0,5.0,2.0,1.0,0,Disgust,7.49205,0
79,0,80.0,635.0,0,1,False,incorrect,True,0.0,1.0,6.0,2.0,1.0,0,Disgust,7.49205,0
80,0,81.0,997.0,1,1,True,correct,True,1.0,2.0,6.0,2.0,1.0,0,Disgust,7.49205,0
81,0,82.0,697.0,1,1,True,correct,True,2.0,3.0,6.0,2.0,1.0,0,Disgust,7.49205,0
82,0,83.0,671.0,1,1,True,correct,True,3.0,4.0,6.0,2.0,1.0,0,Disgust,7.49205,0
83,0,84.0,569.0,1,1,True,correct,True,4.0,5.0,6.0,2.0,1.0,0,Disgust,7.49205,0
84,0,85.0,681.0,1,1,True,incorrect,False,5.0,6.0,6.0,2.0,1.0,0,Disgust,7.49205,0
85,0,86.0,712.0,0,0,True,correct,True,1.0,1.0,7.0,2.0,1.0,0,Disgust,7.49205,0
86,0,87.0,1230.0,0,0,True,correct,True,2.0,2.0,7.0,2.0,1.0,0,Disgust,7.49205,0
87,0,88.0,846.0,0,0,True,correct,True,3.0,3.0,7.0,2.0,1.0,0,Disgust,7.49205,0
88,0,89.0,636.0,0,0,True,correct,True,4.0,4.0,7.0,2.0,1.0,0,Disgust,7.49205,0
89,0,90.0,801.0,0,0,True,correct,True,5.0,5.0,7.0,2.0,1.0,0,Disgust,7.49205,0
0,0,1.0,1677.0,0,0,True,correct,True,1.0,1.0,0.0,0.0,1.0,0,Fear,7.952216666666667,0
1,0,2.0,1030.0,0,0,True,correct,True,2.0,2.0,0.0,0.0,1.0,0,Fear,7.952216666666667,0
2,0,3.0,526.0,0,0,True,correct,True,3.0,3.0,0.0,0.0,1.0,0,Fear,7.952216666666667,0
3,0,4.0,604.0,0,0,True,correct,True,4.0,4.0,0.0,0.0,1.0,0,Fear,7.952216666666667,0
4,0,5.0,454.0,0,0,True,correct,True,5.0,5.0,0.0,0.0,1.0,0,Fear,7.952216666666667,0
5,0,6.0,741.0,0,1,False,incorrect,True,0.0,1.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
6,0,7.0,621.0,0,1,False,correct,False,0.0,2.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
7,0,8.0,659.0,0,1,False,incorrect,True,0.0,3.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
8,0,9.0,651.0,0,1,False,incorrect,True,0.0,4.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
9,0,10.0,739.0,1,1,True,incorrect,False,1.0,5.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
10,0,11.0,565.0,0,1,False,correct,False,0.0,6.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
11,0,12.0,590.0,0,1,False,incorrect,True,0.0,7.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
12,0,13.0,630.0,0,1,False,correct,False,0.0,8.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
13,0,14.0,608.0,0,1,False,incorrect,True,0.0,9.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
14,0,15.0,519.0,0,1,False,correct,False,0.0,10.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
15,0,16.0,699.0,0,1,False,correct,False,0.0,11.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
16,0,17.0,560.0,0,1,False,correct,False,0.0,12.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
17,0,18.0,675.0,0,1,False,incorrect,True,0.0,13.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
18,0,19.0,609.0,0,1,False,incorrect,True,0.0,14.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
19,0,20.0,461.0,0,1,False,incorrect,True,0.0,15.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
20,0,21.0,467.0,0,1,False,correct,False,0.0,16.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
21,0,22.0,543.0,0,1,False,incorrect,True,0.0,17.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
22,0,23.0,594.0,0,1,False,incorrect,True,0.0,18.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
23,0,24.0,809.0,0,1,False,incorrect,True,0.0,19.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
24,0,25.0,465.0,1,1,True,correct,True,1.0,20.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
25,0,26.0,502.0,1,1,True,correct,True,2.0,21.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
26,0,27.0,1094.0,1,1,True,correct,True,3.0,22.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
27,0,28.0,1815.0,0,1,False,incorrect,True,0.0,23.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
28,0,29.0,687.0,0,1,False,incorrect,True,0.0,24.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
29,0,30.0,494.0,0,1,False,correct,False,0.0,25.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
30,0,31.0,1202.0,0,1,False,correct,False,0.0,26.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
31,0,32.0,586.0,0,1,False,incorrect,True,0.0,27.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
32,0,33.0,605.0,0,1,False,incorrect,True,0.0,28.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
33,0,34.0,827.0,1,1,True,correct,True,1.0,29.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
34,0,35.0,573.0,0,1,False,incorrect,True,0.0,30.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
35,0,36.0,690.0,0,1,False,incorrect,True,0.0,31.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
36,0,37.0,1811.0,1,1,True,correct,True,1.0,32.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
37,0,38.0,691.0,1,1,True,correct,True,2.0,33.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
38,0,39.0,919.0,1,1,True,correct,True,3.0,34.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
39,0,40.0,854.0,1,1,True,correct,True,4.0,35.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
40,0,41.0,993.0,1,1,True,correct,True,5.0,36.0,1.0,0.0,1.0,0,Fear,7.952216666666667,0
41,0,42.0,688.0,1,0,False,correct,False,0.0,1.0,2.0,0.0,1.0,0,Fear,7.952216666666667,0
42,0,43.0,1008.0,1,0,False,correct,False,0.0,2.0,2.0,0.0,1.0,0,Fear,7.952216666666667,0
43,0,44.0,610.0,1,0,False,incorrect,True,0.0,3.0,2.0,0.0,1.0,0,Fear,7.952216666666667,0
44,0,45.0,558.0,0,0,True,correct,True,1.0,4.0,2.0,0.0,1.0,0,Fear,7.952216666666667,0
45,0,46.0,644.0,0,0,True,incorrect,False,2.0,5.0,2.0,0.0,1.0,0,Fear,7.952216666666667,0
46,0,47.0,622.0,1,0,False,incorrect,True,0.0,6.0,2.0,0.0,1.0,0,Fear,7.952216666666667,0
47,0,48.0,1536.0,0,0,True,correct,True,1.0,7.0,2.0,0.0,1.0,0,Fear,7.952216666666667,0
48,0,49.0,953.0,0,0,True,correct,True,2.0,8.0,2.0,0.0,1.0,0,Fear,7.952216666666667,0
49,0,50.0,1076.0,0,0,True,correct,True,3.0,9.0,2.0,0.0,1.0,0,Fear,7.952216666666667,0
50,0,51.0,861.0,0,0,True,correct,True,4.0,10.0,2.0,0.0,1.0,0,Fear,7.952216666666667,0
51,0,52.0,829.0,0,0,True,correct,True,5.0,11.0,2.0,0.0,1.0,0,Fear,7.952216666666667,0
52,0,53.0,817.0,0,1,False,incorrect,True,0.0,1.0,3.0,0.0,1.0,0,Fear,7.952216666666667,0
53,0,54.0,932.0,0,1,False,incorrect,True,0.0,2.0,3.0,0.0,1.0,0,Fear,7.952216666666667,0
